YR_Development_Key,Municipality_ID,Development_ID,Site_Development,CRE_Type,Application_ID_Raw,Current_Status,Units,Unit_Type,Confidence,Source_Date,Evidence_Notes,Source_URL,Record_Scope
MK-M014,2,M014,"","Mixed-use Residential / Rental",,"Under Review",1029,"",A,"","North parcel 28-storey; south parcel 53- and 41-storey towers; 1,029 total units","",""
MK-M015,2,M015,"","Purpose-built Rental / Commercial Retention",,"New Complete Application",504,"",A,"","46-storey PBR tower; gas station and 2-storey commercial retained; car wash removed","",""
MK-M016,2,M016,"","Greenfield Residential",,"Public Meeting Completed",289,"",A,"","OPA only; 144 detached + 28 townhouse + 24 mid-rise stated approximate; New Community Area","",""
MK-M017,2,M017,"","Mixed-use Residential",,"Under Review / Referred",369,"",A,"","8-storey mixed-use; 450 m² retail; future Rougeside Promenade","",""
NM-N001,4,N001,"201 Davis Drive","Residential / Urban Centre","Current municipal approval",Approved,216,"",A,2026-09-05,"Urban Centres Secondary Plan intensification.",https://www.newmarket.ca/local-government/news-notices/2024-06-24-council-highlights-june-24,""
NM-N002,4,N002,"615 Davis Drive","Mixed-use Residential / Urban Centre","Current municipal approval",Approved,767,"",A,2026-09-05,"Urban Centres Secondary Plan intensification.",https://www.newmarket.ca/local-government/news-notices/2024-06-24-council-highlights-june-24,""
NM-N003,4,N003,"17645 Yonge Street / Redwood","Mixed-use Residential / Retail","D09-NP1714; D14-NP1714; D11-NP1812","Under Review",530,"",B,2026-09-05,"Latest located application map is older; current status should be refreshed through the Town portal before final investment use.",https://www.newmarket.ca/LivingHere/Documents/Planning%20Department/Current%20Applications/Developments%20Map.pdf,""
NM-N004,4,N004,"17365 & 17395 Yonge Street / Kerbel","Mixed-use Residential / Retail",D14-NP1001,"Under Review",360,"",B,2026-09-05,"Long-running file; verify latest status and whether unit count has changed before using as current supply.",https://www.newmarket.ca/LivingHere/Documents/Planning%20Department/Current%20Applications/Developments%20Map.pdf,""
NM-N005,4,N005,"175 Deerfield Road","Purpose-built Rental / Apartment","Phase 3 Site Plan","Phase 3 Under Review",,"",B,2026-09-05,"Do not insert the historical ~220 figure into current pipeline total without Phase 3 confirmation.",https://www.newmarket.ca/LivingHere/Pages/Planning%20and%20development/Planning%20Applications/Current%20Applications/Deerfield-Application.aspx,""
NM-N006,4,N006,"55 Eagle Street","Residential / Mixed-use","PL200469 / PL080723","OLT / Reconciliation Required",192,"",B,2026-09-05,"Do not classify as approved supply until current OLT disposition is reconciled.",https://www.newmarket.ca/TownGovernment/Documents/INFO-2021-23.pdf,""
NM-N007,4,N007,"16920 & 16860 Leslie Street / Forest Green","Residential / Greenfield","2018-09; OPA 27","Under Review",,"",B,2026-09-05,"Avoid using old component counts as current supply without a current application package.",https://www.newmarket.ca/LivingHere/Documents/Planning%20Department/Official%20Plan/2006%20Official%20Plan%20-%20August%202024%20Consolidation%20FINAL%20%28with%20maps%29.pdf,""
NM-N008,4,N008,"741–763 Gorham Street & 233 Muriel Street","Residential / Townhouse",PLN-OPZS-2022-007,"Public Meeting / Under Review",62,"",A,2026-09-05,"Public meeting is not approval.",https://www.newmarket.ca/local-government/news-notices/2026-02-10-public-meeting-draft-plan-subdivision-zoning-by-law,""
NM-N009,4,N009,"113–121 Main Street North","Residential / Townhouse",PLN-OPZS-2023-002,"Public Meeting / Under Review",19,"",A,2026-09-05,"Complete application and public meeting do not equal approval.",https://www.newmarket.ca/local-government/news-notices/2026-02-10-zoning-by-law-amendment-application-113-121-main-street,""
NM-N010,4,N010,"17600/17645 Yonge Street / Shining Hill Secondary Plan","Residential / Greenfield Secondary Plan","PLN-OPZS-2024-001; PLN-OPZS-2025-010","Public Meeting / Under Review",,"",A,2026-09-05,"Do not combine the 1,000–1,500 Secondary Plan range with individual phase applications. Use the master record as a planning universe and component applications separately.",https://www.newmarket.ca/TownGovernment/Lists/News%20and%20Public%20Notices/Attachments/2046/2.%20Notice%20of%20Public%20Meeting%20-%20240%20m.pdf,""
NM-N011,4,N011,"345–351 Davis Drive","Residential / Stacked Townhouse","D14-NP1329; D11-NP1329","Approved / Site Plan Pending",40,"",A,2026-09-05,"Approved zoning but site-plan implementation remains.",https://www.newmarket.ca/LivingHere/Documents/Planning%20Department/Current%20Applications/Developments%20Map.pdf,""
NM-N012,4,N012,"260 Eagle Street","Residential / Townhouse",2017-44,"Approved / Holding",27,"",A,2026-09-05,"Holding condition must be tracked separately from zoning approval.",https://www.newmarket.ca/TownGovernment/Meeting%20Content/2017/CouncilJune26A.pdf,""
NM-N013,4,N013,"172 & 178 Old Main Street","Residential / Semi-detached","D09-NP-1703; D14-NP1703",Approved,12,"",A,2026-09-05,"Small approved infill project.",https://www.newmarket.ca/LivingHere/Documents/Planning%20Department/Current%20Applications/Developments%20Map.pdf,""
RH-D001,1,D001,"","Mixed-use Residential",,"Public Meeting Scheduled",,"",A,"","","",""
RH-D002,1,D002,"","Mixed-use Residential",,"Public Meeting Scheduled",,"",A,"","","",""
RH-D003,1,D003,"","Commercial / Retail",,"Public Meeting Scheduled",,"",A,"","","",""
RH-D004,1,D004,"",Residential,,"Verification Required",,"",A/B,"","","",""
RH-D005,1,D005,"","Commercial / Temporary Use",,"Application / Meeting Pending",,"",A,"","","",""
RH-D006,1,D006,"","Commercial / Retail",,"Decision Verification Required",,"",A,"","","",""
RH-D007,1,D007,"","Mixed-use Residential",,"Verification Required",,"",A,"","","",""
RH-D008,1,D008,"",Residential,,"Verification Required",,"",A,"","","",""
RH-D009,1,D009,"",Residential,,"Verification Required",,"",A/B,"","","",""
RH-D010,1,D010,"",Residential,,Approved,,"",B,"","","",""
RH-D011,1,D011,"","Townhouse Residential",,Approved,,"",A,"","","",""
RH-D012,1,D012,"","Semi-detached Residential",,Approved,,"",A,"","","",""
RH-D013,1,D013,"",Residential,,"Approved + Holding",,"",A,"","","",""
RH-D014,1,D014,"",Residential,,Approved,,"",A,"","","",""
RH-D015,1,D015,"","Townhouse Residential",,Approved,,"",A,"","","",""
RH-D016,1,D016,"","Townhouse Residential",,Approved,,"",A,"","","",""
RH-D017,1,D017,"","Townhouse Residential",,Approved,,"",A,"","","",""
RH-D018,1,D018,"","Mixed-use Residential",,"Approved zoning; units unconfirmed",,"",B,"","","",""
RH-D019,1,D019,"",Commercial,,Approved,,"",A,"","","",""
RH-D020,1,D020,"","Automotive Commercial",,Approved,,"",A,"","","",""
RH-D021,1,D021,"","Institutional / Education",,Approved,,"",A,"","","",""
RH-D022,1,D022,"",Residential,,"Verification Required",,"",B,"","","",""
VA-V001,3,V001,"","Residential Subdivision",,Active,117,"",A,"","117 residential lots","",""
VA-V002,3,V002,"","Residential Subdivision",,Active,51,"",A,"","28 detached + 23 street townhouse; future/part lots excluded from unit total","",""
VA-V003,3,V003,"","Residential Subdivision",,"Under Review",322,"",A,"","150 detached + 172 townhouse; 59 future/part residential lots","",""
VA-V004,3,V004,"","Residential Subdivision",,"Under Review",518,"",A,"","245 detached + 195 townhouse + 78 future/part-lot dwelling units = 518 stated total","",""
VA-V005,3,V005,"","Residential Subdivision",,"Under Review",208,"",A,"","MZO / O. Reg. 644/20 context","",""
VA-V006,3,V006,"","Residential Subdivision",,"Under Review",95,"",A,"","64 detached + 31 street townhouse; 8 part-residential blocks","",""
VA-V007,3,V007,"","Townhouse Residential",,"Under Review",92,"",A,"","92 three-storey townhouse units; FSI 0.94","",""
VA-V008,3,V008,"","Seniors / Residential",,"Component / Phase",0,"",B,"","15-storey seniors condominium apartment; do not count as standalone new development","",""
VA-VM001,3,VM001,"","VMC Mixed-use",,"Approved / Holding",2176,"",A,"","","",""
VA-VM002,3,VM002,"","VMC Mixed-use",,"Approved / Holding",1565,"",A,"","4 residential + 1 mixed-use building; 11.5% PBR rental; hotel/office/retail","",""
VA-VM003,3,VM003,"","VMC Mixed-use",,"Approved / Holding",1349,"",A,"","2 x 59-storey residential towers + 7-storey office; retail/public mews","",""
VA-VM004,3,VM004,"","VMC Residential",,Approved,1145,"",A,"","46- and 52-storey towers; community centre","",""
VA-VM005,3,VM005,"","VMC Mixed-use",,"In Progress / Verify",1100,"",B,"","Approximate 1,100 units; do not include in official VMC aggregate","",""
VA-VM006,3,VM006,"","VMC Mixed-use",,"Phase / Version Control",0,"",B,"","Do not sum historical phase counts without reconciliation","",""
WS-WS001,6,WS001,"MZO 306/22 – Highway 48 Growth Area","Greenfield Residential / Mixed-use","MZO 306/22; related subdivision files","Approved / Implementation",2,"",A,2026-09-05,"MZO entitlement is not equivalent to registered or serviced supply. Avoid adding later subdivision components without parent linkage.",https://www.townofws.ca/en/business-development-and-planning/major-projects.aspx,""
WS-WS002,6,WS002,"57 Main Street","Mixed-use Residential / Commercial","Current Town planning file","Under Review",321,"",A,2026-09-05,"Main Street intensification; verify latest unit count if application has been revised.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS003,6,WS003,"6240 Main Street","Mixed-use Residential / Commercial","Current Town planning file","Under Review",257,"",A,2026-09-05,"Public meeting / application status should be refreshed through current Town portal.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS004,6,WS004,"Markham Street / 19T-19001","Greenfield Residential",19T-19001,"Approved / Build-out",154,"",A,2026-09-05,"Treat as parent subdivision; current remaining unbuilt units need reconciliation before transaction-level supply use.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS005,6,WS005,"Wheler's on Main / 5472 Main Street","Mixed-use Residential / Commercial","Current municipal approvals","Approved / Holding",148,"",A,2026-09-05,"Holding/implementation status must be tracked separately from entitlement.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS006,6,WS006,"19T-21002 – Hoover Park / Tenth Line","Greenfield Residential",19T-21002,"Under Review",450,"",B,2026-09-05,"Long-running planning record; current draft-plan unit mix and registration status require portal reconciliation.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS007,6,WS007,"MZO 268/21 – Stouffville North / Bethesda Growth","Greenfield Residential / Mixed-use","MZO 268/21; related subdivision files","Approved / Long-term",1,"",B,2026-09-05,"Do not treat the MZO quantum as near-term deliverable supply; parent/component reconciliation required.",https://www.townofws.ca/en/business-development-and-planning/major-projects.aspx,""
WS-WS008,6,WS008,"Bethesda Road Employment Area","Employment / Industrial","Current planning studies / applications","Under Review",,"",A,2026-09-05,"No residential units counted; link to employment land database.",https://www.townofws.ca/en/business-development-and-planning/planning-studies-and-master-plans.aspx,""
WS-WS009,6,WS009,"SmartCentres Stouffville – Main Street / Ninth Line","Retail / Mixed-use","Current planning universe","Under Review",,"",B,2026-09-05,"Exact current GFA/unit allocation requires project-level plan review; not inserted without reliable source.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS010,6,WS010,"19T-17002 – Ninth Line / Hoover Park","Greenfield Residential",19T-17002,"Approved / Build-out",310,"",B,2026-09-05,"Need registration/build-out reconciliation before calling all 310 future supply.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS011,6,WS011,"Millard Street / Main Street Intensification","Residential / Apartment","Current Town planning file","Under Review",120,"",B,2026-09-05,"Use as working figure only until latest application package is reconciled.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS012,6,WS012,"Aurora Road / Tenth Line Growth Area","Greenfield Residential","Current planning framework","Planning / Long-term",,"",B,2026-09-05,"Do not infer units from growth forecasts; keep planning context separate.",https://www.townofws.ca/en/business-development-and-planning/planning-studies-and-master-plans.aspx,""
WS-WS013,6,WS013,"Ballantrae / Highway 48 Village Intensification","Residential / Village Growth","Current planning universe","Under Review",85,"",B,2026-09-05,"Project-level current unit count/status needs application-level confirmation.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS014,6,WS014,"Wheler's on Main – Commercial Component","Retail / Commercial","Related to WS005","Approved / Implementation",,"",A,2026-09-05,"Parent relationship: commercial component of WS005; do not treat as a new residential development.",https://www.townofws.ca/en/business-development-and-planning/current-planning-applications.aspx,""
WS-WS015,6,WS015,"Highway 48 / Main Street Intensification Corridor","Mixed-use / Corridor Planning","Official Plan / Secondary Plans","Planning Context",,"",A,2026-09-05,"Not a development project; no units counted.",https://www.townofws.ca/en/business-development-and-planning/official-plan.aspx,""
